"Município";"Sim";"Não";"Total"
"351620 Franca";64;51;115
"351630 Francisco Morato";12;7;19
"351640 Franco da Rocha";61;8;69
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";4;-;4
"351670 Garça";15;4;19
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";4;-;4
"351690 General Salgado";4;2;6
"351700 Getulina";-;1;1
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";7;4;11
"351750 Guapiaçu";6;-;6
"351760 Guapiara";1;1;2
"351770 Guará";7;7;14
"351780 Guaraçaí";1;-;1
"351790 Guaraci";3;-;3
"351800 Guarani d'Oeste";1;-;1
"351810 Guarantã";2;-;2
"351820 Guararapes";5;8;13
"351830 Guararema";5;1;6
"351840 Guaratinguetá";13;52;65
"351850 Guareí";5;-;5
"351860 Guariba";8;5;13
"351870 Guarujá";42;34;76
"351880 Guarulhos";163;113;276
"351885 Guatapará";2;-;2
"351890 Guzolândia";2;-;2
"351900 Herculândia";4;-;4
"351905 Holambra";1;1;2
"351907 Hortolândia";27;17;44
"351910 Iacanga";3;2;5
"351920 Iacri";1;-;1
"351925 Iaras";17;-;17
"351930 Ibaté";3;3;6
"351940 Ibirá";2;-;2
"351950 Ibirarema";1;-;1
"351960 Ibitinga";6;7;13
"351970 Ibiúna";7;8;15
"351980 Icém";1;1;2
"351990 Iepê";2;-;2
"352000 Igaraçu do Tietê";2;5;7
"352010 Igarapava";7;6;13
"352020 Igaratá";3;-;3
"352030 Iguape";3;1;4
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";14;17;31
"352040 Ilhabela";24;1;25
"352050 Indaiatuba";41;54;95
"352060 Indiana";2;-;2
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;2;5
"352100 Iperó";6;2;8
"352110 Ipeúna";3;-;3
"352115 Ipiguá";2;-;2
"352120 Iporanga";1;-;1
"352130 Ipuã";6;5;11
"352140 Iracemápolis";5;-;5
"352150 Irapuã";1;-;1
"352160 Irapuru";3;3;6
"352170 Itaberá";2;-;2
"352180 Itaí";6;-;6
"352190 Itajobi";3;-;3
"352200 Itaju";1;1;2
"352210 Itanhaém";22;6;28
"352220 Itapecerica da Serra";12;19;31
"352230 Itapetininga";34;51;85
"352240 Itapeva";16;33;49
"352250 Itapevi";18;5;23
"352260 Itapira";22;21;43
"352265 Itapirapuã Paulista";2;-;2
"352270 Itápolis";15;4;19
"352280 Itaporanga";3;-;3
"352290 Itapuí";2;-;2
"352300 Itapura";2;-;2
"352310 Itaquaquecetuba";17;11;28
"352320 Itararé";4;2;6
"352330 Itariri";1;1;2
"352340 Itatiba";23;24;47
"352350 Itatinga";3;2;5
"352360 Itirapina";8;-;8
"352370 Itirapuã";2;-;2
"352380 Itobi";2;-;2
"352390 Itu";29;54;83
"352400 Itupeva";17;4;21
"352410 Ituverava";16;13;29
"352420 Jaborandi";2;-;2
"352430 Jaboticabal";20;16;36
"352440 Jacareí";47;91;138
"352450 Jaci";11;1;12
"352460 Jacupiranga";1;2;3
"352470 Jaguariúna";14;20;34
"352480 Jales";14;31;45
"352500 Jandira";9;7;16
"352510 Jardinópolis";11;3;14
"352520 Jarinu";4;2;6
"352530 Jaú";31;41;72
"352540 Jeriquara";1;-;1
"352550 Joanópolis";2;1;3
"352560 João Ramalho";1;-;1
"352570 José Bonifácio";7;6;13
"352580 Júlio Mesquita";1;1;2
"352590 Jundiaí";89;226;315
"352600 Junqueirópolis";5;4;9
"352610 Juquiá";2;1;3
"352620 Juquitiba";5;-;5
"352630 Lagoinha";-;1;1
"352640 Laranjal Paulista";5;7;12
"352650 Lavínia";4;-;4
"352660 Lavrinhas";1;-;1
"352670 Leme";26;17;43
"352680 Lençóis Paulista";13;21;34
"352690 Limeira";56;86;142
"352700 Lindóia";1;1;2
"352710 Lins";23;54;77
"352720 Lorena";15;30;45
"352725 Lourdes";2;-;2
"352730 Louveira";12;6;18
"352740 Lucélia";5;5;10
"352770 Luiziânia";1;-;1
"352780 Lupércio";1;-;1
"352790 Lutécia";1;-;1
"352800 Macatuba";5;3;8
"352810 Macaubal";4;-;4
"352820 Macedônia";1;-;1
"352830 Magda";2;-;2
"352840 Mairinque";4;4;8
"352850 Mairiporã";18;16;34
"352860 Manduri";1;-;1
"352870 Marabá Paulista";2;-;2
"352880 Maracaí";4;-;4
"352885 Marapoama";1;-;1
"352890 Mariápolis";1;-;1
"352900 Marília";105;120;225
"352910 Marinópolis";1;-;1
"352920 Martinópolis";16;2;18
"352930 Matão";26;19;45
"352940 Mauá";45;46;91
"352950 Mendonça";1;-;1
"352960 Meridiano";2;-;2
"352965 Mesópolis";2;-;2
"352970 Miguelópolis";4;1;5
"352980 Mineiros do Tietê";4;1;5
"353000 Mira Estrela";3;-;3
"352990 Miracatu";4;-;4
"353010 Mirandópolis";8;5;13
"353020 Mirante do Paranapanema";4;1;5
"353030 Mirassol";22;20;42
"353040 Mirassolândia";1;-;1
"353050 Mococa";18;39;57
"353060 Mogi das Cruzes";62;121;183
"353070 Mogi Guaçu";13;23;36
"353080 Mogi Mirim";39;10;49
"353090 Mombuca";1;-;1
"353100 Monções";3;-;3
"353110 Mongaguá";5;5;10
"353120 Monte Alegre do Sul";2;-;2
"353130 Monte Alto";8;40;48
"353140 Monte Aprazível";3;3;6
"353150 Monte Azul Paulista";3;6;9
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";6;1;7
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";8;9;17
"353200 Morungaba";3;1;4
"353205 Motuca";3;-;3
"353210 Murutinga do Sul";-;1;1
"353215 Nantes";1;-;1
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";3;-;3
"353250 Neves Paulista";2;-;2
"353260 Nhandeara";4;2;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353284 Nova Canaã Paulista";2;-;2
"353290 Nova Europa";2;-;2
"353300 Nova Granada";4;3;7
"353310 Nova Guataporanga";2;-;2
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";1;-;1
"353340 Nova Odessa";5;11;16
"353325 Novais";2;-;2
"353350 Novo Horizonte";9;11;20
"353360 Nuporanga";2;1;3
"353370 Ocauçu";1;-;1
"353380 Óleo";2;-;2
"353390 Olímpia";14;16;30
"353400 Onda Verde";2;-;2
"353410 Oriente";-;4;4
"353420 Orindiúva";6;-;6
"353430 Orlândia";7;22;29
"353440 Osasco";59;216;275
"353450 Oscar Bressane";2;-;2
"353460 Osvaldo Cruz";6;6;12
"353470 Ourinhos";33;58;91
"353480 Ouro Verde";-;1;1
"353475 Ouroeste";3;3;6
"353490 Pacaembu";8;1;9
"353500 Palestina";1;4;5
"353510 Palmares Paulista";1;2;3
"353520 Palmeira d'Oeste";3;1;4
"353530 Palmital";7;5;12
"353540 Panorama";3;1;4
"353550 Paraguaçu Paulista";11;17;28
"353560 Paraibuna";1;-;1
"353570 Paraíso";1;-;1
"353580 Paranapanema";5;1;6
"353590 Paranapuã";2;-;2
"353600 Parapuã";3;-;3
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";10;2;12
"353625 Parisi";3;-;3
"353630 Patrocínio Paulista";3;-;3
"353640 Paulicéia";1;-;1
"353650 Paulínia";27;39;66
"353660 Paulo de Faria";2;-;2
"353670 Pederneiras";10;5;15
"353680 Pedra Bela";1;-;1
"353690 Pedranópolis";2;-;2
"353700 Pedregulho";3;1;4
"353710 Pedreira";9;15;24
"353715 Pedrinhas Paulista";1;-;1
"353720 Pedro de Toledo";2;-;2
"353730 Penápolis";14;19;33
"353740 Pereira Barreto";6;9;15
"353750 Pereiras";2;-;2
"353760 Peruíbe";3;9;12
"353770 Piacatu";2;-;2
"353780 Piedade";2;7;9
"353790 Pilar do Sul";4;-;4
"353800 Pindamonhangaba";16;46;62
"353810 Pindorama";2;-;2
"353820 Pinhalzinho";2;1;3
"353830 Piquerobi";2;-;2
"353850 Piquete";1;-;1
"353860 Piracaia";7;1;8
"353870 Piracicaba";42;144;186
"353880 Piraju";4;10;14
"353890 Pirajuí";12;7;19
"353900 Pirangi";3;1;4
"353910 Pirapora do Bom Jesus";2;-;2
"353920 Pirapozinho";9;5;14
"353930 Pirassununga";25;24;49
"353940 Piratininga";2;-;2
"353950 Pitangueiras";9;8;17
"353960 Planalto";1;-;1
"353970 Platina";1;-;1
"353980 Poá";11;17;28
"353990 Poloni";2;1;3
"354000 Pompéia";11;23;34
"354010 Pongaí";1;-;1
"354020 Pontal";5;14;19
"354025 Pontalinda";2;-;2
"354040 Populina";2;-;2
"354050 Porangaba";1;-;1
"354060 Porto Feliz";4;17;21
"354070 Porto Ferreira";14;20;34
"354075 Potim";4;-;4
"354080 Potirendaba";3;7;10
"354085 Pracinha";2;-;2
"354090 Pradópolis";1;2;3
"354100 Praia Grande";35;50;85
"354105 Pratânia";2;-;2
"354110 Presidente Alves";1;-;1
"354120 Presidente Bernardes";10;2;12
"354130 Presidente Epitácio";5;6;11
"354140 Presidente Prudente";66;156;222
"354150 Presidente Venceslau";10;8;18
"354160 Promissão";6;7;13
"354170 Quatá";6;4;10
"354180 Queiroz";3;-;3
"354190 Queluz";2;-;2
"354200 Quintana";1;5;6
"354210 Rafard";2;-;2
"354220 Rancharia";7;2;9
"354230 Redenção da Serra";2;-;2
"354240 Regente Feijó";3;5;8
"354250 Reginópolis";2;-;2
"354260 Registro";12;7;19
"354270 Restinga";3;-;3
"354280 Ribeira";1;-;1
"354290 Ribeirão Bonito";1;2;3
"354300 Ribeirão Branco";1;-;1
"354310 Ribeirão Corrente";1;-;1
"354320 Ribeirão do Sul";1;-;1
"354323 Ribeirão dos Índios";1;-;1
"354330 Ribeirão Pires";26;33;59
"354340 Ribeirão Preto";172;333;505
"354360 Rifaina";2;1;3
"354370 Rincão";1;1;2
"354380 Rinópolis";2;-;2
"354390 Rio Claro";41;70;111
"354400 Rio das Pedras";6;3;9
"354410 Rio Grande da Serra";13;-;13
"354420 Riolândia";4;-;4
"354350 Riversul";1;-;1
"354425 Rosana";3;4;7
"354430 Roseira";4;1;5
"354440 Rubiácea";1;-;1
"354450 Rubinéia";2;-;2
"354460 Sabino";1;-;1
"354480 Sales";2;-;2
"354490 Sales Oliveira";1;4;5
"354500 Salesópolis";2;-;2
"354510 Salmourão";1;-;1
"354515 Saltinho";1;-;1
"354520 Salto";14;29;43
"354530 Salto de Pirapora";6;3;9
"354540 Salto Grande";1;1;2
"354550 Sandovalina";1;-;1
"354560 Santa Adélia";3;-;3
"354570 Santa Albertina";1;-;1
"354580 Santa Bárbara d'Oeste";17;34;51
"354600 Santa Branca";3;3;6
"354610 Santa Clara d'Oeste";2;1;3
"354620 Santa Cruz da Conceição";1;-;1
"354630 Santa Cruz das Palmeiras";5;8;13
"354640 Santa Cruz do Rio Pardo";8;12;20
"354650 Santa Ernestina";1;-;1
"354660 Santa Fé do Sul";12;8;20
"354670 Santa Gertrudes";6;2;8
"354680 Santa Isabel";7;2;9
"354690 Santa Lúcia";2;-;2
"354710 Santa Mercedes";1;-;1
"354740 Santa Rita d'Oeste";1;-;1
"354750 Santa Rita do Passa Quatro";10;3;13
"354760 Santa Rosa de Viterbo";3;7;10
"354765 Santa Salete";2;-;2
"354720 Santana da Ponte Pensa";1;-;1
"354730 Santana de Parnaíba";40;4;44
"354770 Santo Anastácio";3;6;9
"354780 Santo André";95;157;252
"354790 Santo Antônio da Alegria";4;-;4
"354800 Santo Antônio de Posse";7;1;8
"354805 Santo Antônio do Aracanguá";1;-;1
"354810 Santo Antônio do Jardim";1;-;1
"354820 Santo Antônio do Pinhal";1;-;1
"354830 Santo Expedito";1;-;1
"354840 Santópolis do Aguapeí";1;-;1
"354850 Santos";104;293;397
"354860 São Bento do Sapucaí";2;-;2
"354870 São Bernardo do Campo";113;245;358
"354880 São Caetano do Sul";53;56;109
"354890 São Carlos";49;56;105
"354900 São Francisco";2;-;2
"354910 São João da Boa Vista";27;72;99
"354920 São João das Duas Pontes";2;-;2
"354930 São João do Pau d'Alho";1;-;1
"354940 São Joaquim da Barra";8;23;31
"354950 São José da Bela Vista";2;2;4
"354960 São José do Barreiro";2;-;2
"354970 São José do Rio Pardo";13;10;23
"354980 São José do Rio Preto";187;149;336
"354990 São José dos Campos";75;198;273
"354995 São Lourenço da Serra";2;-;2
"355000 São Luís do Paraitinga";1;-;1
"355010 São Manuel";9;13;22
"355020 São Miguel Arcanjo";6;1;7
"355030 São Paulo";2651;1233;3884
"355040 São Pedro";5;7;12
"355050 São Pedro do Turvo";2;-;2
"355060 São Roque";13;36;49
"355070 São Sebastião";20;5;25
"355080 São Sebastião da Grama";5;3;8
"355090 São Simão";6;-;6
"355100 São Vicente";42;30;72
"355110 Sarapuí";1;-;1
"355130 Sebastianópolis do Sul";2;-;2
"355140 Serra Azul";6;-;6
"355160 Serra Negra";6;4;10
"355150 Serrana";11;5;16
"355170 Sertãozinho";10;55;65
"355180 Sete Barras";1;-;1
"355190 Severínia";1;-;1
"355200 Silveiras";2;-;2
"355210 Socorro";8;7;15
"355220 Sorocaba";84;234;318
"355230 Sud Mennucci";2;1;3
"355240 Sumaré";36;24;60
"355255 Suzanápolis";2;1;3
"355250 Suzano";64;33;97
"355260 Tabapuã";3;1;4
"355270 Tabatinga";3;1;4
"355280 Taboão da Serra";45;13;58
"355290 Taciba";2;-;2
"355300 Taguaí";2;-;2
"355310 Taiaçu";-;1;1
"355320 Taiúva";2;-;2
"355330 Tambaú";3;10;13
"355340 Tanabi";6;2;8
"355350 Tapiraí";1;-;1
"355360 Tapiratiba";3;1;4
"355365 Taquaral";1;-;1
"355370 Taquaritinga";18;11;29
"355380 Taquarituba";10;-;10
"355385 Taquarivaí";2;-;2
"355390 Tarabai";2;-;2
"355395 Tarumã";5;1;6
"355400 Tatuí";17;37;54
"355410 Taubaté";59;167;226
"355420 Tejupá";1;-;1
"355430 Teodoro Sampaio";4;1;5
"355440 Terra Roxa";1;-;1
"355450 Tietê";2;14;16
"355460 Timburi";1;-;1
"355465 Torre de Pedra";1;-;1
"355470 Torrinha";1;1;2
"355475 Trabiju";1;-;1
"355480 Tremembé";13;5;18
"355490 Três Fronteiras";2;-;2
"355495 Tuiuti";2;-;2
"355500 Tupã";19;23;42
"355510 Tupi Paulista";6;3;9
"355520 Turiúba";1;-;1
"355530 Turmalina";1;-;1
"355535 Ubarana";1;-;1
"355540 Ubatuba";11;7;18
"355550 Ubirajara";3;-;3
"355560 Uchoa";4;2;6
"355570 União Paulista";1;-;1
"355580 Urânia";1;-;1
"355600 Urupês";3;4;7
"355610 Valentim Gentil";5;1;6
"355620 Valinhos";24;24;48
"355630 Valparaíso";10;5;15
"355635 Vargem";1;-;1
"355640 Vargem Grande do Sul";3;23;26
"355645 Vargem Grande Paulista";4;14;18
"355650 Várzea Paulista";5;2;7
"355660 Vera Cruz";-;4;4
"355670 Vinhedo";24;35;59
"355680 Viradouro";3;3;6
"355690 Vista Alegre do Alto";1;1;2
"355695 Vitória Brasil";1;-;1
"355700 Votorantim";9;9;18
"355710 Votuporanga";13;33;46
"Total";8925;9221;18146
&
"Município";"Sim";"Não";"Total"
"350010 Adamantina";13;27;40
"350020 Adolfo";3;-;3
"350030 Aguaí";5;10;15
"350040 Águas da Prata";1;-;1
"350050 Águas de Lindóia";4;3;7
"350055 Águas de Santa Bárbara";1;1;2
"350060 Águas de São Pedro";1;-;1
"350070 Agudos";10;4;14
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";8;2;10
"350110 Alto Alegre";1;-;1
"350115 Alumínio";2;1;3
"350120 Álvares Florence";1;-;1
"350130 Álvares Machado";10;1;11
"350140 Álvaro de Carvalho";3;-;3
"350150 Alvinlândia";1;-;1
"350160 Americana";27;236;263
"350170 Américo Brasiliense";10;1;11
"350180 Américo de Campos";1;-;1
"350190 Amparo";22;23;45
"350210 Andradina";21;41;62
"350220 Angatuba";4;2;6
"350230 Anhembi";1;-;1
"350240 Anhumas";2;-;2
"350250 Aparecida";6;2;8
"350260 Aparecida d'Oeste";2;-;2
"350270 Apiaí";4;1;5
"350275 Araçariguama";6;1;7
"350280 Araçatuba";50;104;154
"350290 Araçoiaba da Serra";4;10;14
"350300 Aramina";1;-;1
"350310 Arandu";2;-;2
"350315 Arapeí";1;-;1
"350320 Araraquara";59;96;155
"350330 Araras";21;33;54
"350335 Arco-Íris";1;-;1
"350340 Arealva";3;1;4
"350350 Areias";1;-;1
"350360 Areiópolis";3;-;3
"350370 Ariranha";9;-;9
"350380 Artur Nogueira";8;10;18
"350390 Arujá";7;25;32
"350395 Aspásia";2;-;2
"350400 Assis";25;68;93
"350410 Atibaia";22;87;109
"350420 Auriflama";3;2;5
"350430 Avaí";1;-;1
"350440 Avanhandava";2;-;2
"350450 Avaré";21;35;56
"350460 Bady Bassitt";4;-;4
"350470 Balbinos";2;-;2
"350480 Bálsamo";4;-;4
"350490 Bananal";1;-;1
"350500 Barão de Antonina";1;-;1
"350510 Barbosa";2;-;2
"350520 Bariri";4;3;7
"350530 Barra Bonita";5;15;20
"350535 Barra do Chapéu";2;-;2
"350540 Barra do Turvo";1;-;1
"350550 Barretos";44;27;71
"350560 Barrinha";4;1;5
"350570 Barueri";71;46;117
"350580 Bastos";6;2;8
"350590 Batatais";14;28;42
"350600 Bauru";82;111;193
"350610 Bebedouro";20;34;54
"350630 Bernardino de Campos";4;-;4
"350635 Bertioga";4;6;10
"350640 Bilac";3;-;3
"350650 Birigui";13;24;37
"350660 Biritiba-Mirim";1;2;3
"350670 Boa Esperança do Sul";3;1;4
"350680 Bocaina";2;3;5
"350690 Bofete";1;-;1
"350700 Boituva";13;19;32
"350710 Bom Jesus dos Perdões";3;-;3
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350740 Borborema";2;2;4
"350745 Borebi";2;-;2
"350750 Botucatu";81;90;171
"350760 Bragança Paulista";32;42;74
"350770 Braúna";1;-;1
"350775 Brejo Alegre";2;-;2
"350780 Brodowski";8;3;11
"350790 Brotas";3;7;10
"350800 Buri";1;-;1
"350810 Buritama";3;3;6
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";2;-;2
"350840 Cabreúva";10;8;18
"350850 Caçapava";9;50;59
"350860 Cachoeira Paulista";13;13;26
"350870 Caconde";5;2;7
"350880 Cafelândia";7;7;14
"350890 Caiabu";1;-;1
"350900 Caieiras";18;16;34
"350910 Caiuá";5;-;5
"350920 Cajamar";17;6;23
"350925 Cajati";6;3;9
"350930 Cajobi";2;-;2
"350940 Cajuru";5;7;12
"350945 Campina do Monte Alegre";1;-;1
"350950 Campinas";264;293;557
"350960 Campo Limpo Paulista";13;3;16
"350970 Campos do Jordão";9;7;16
"350980 Campos Novos Paulista";2;-;2
"350990 Cananéia";1;-;1
"350995 Canas";2;-;2
"351000 Cândido Mota";7;8;15
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";10;2;12
"351030 Capela do Alto";3;2;5
"351040 Capivari";9;26;35
"351050 Caraguatatuba";20;25;45
"351060 Carapicuíba";40;9;49
"351070 Cardoso";3;1;4
"351080 Casa Branca";23;5;28
"351090 Cássia dos Coqueiros";2;-;2
"351100 Castilho";6;2;8
"351110 Catanduva";30;49;79
"351120 Catiguá";1;-;1
"351130 Cedral";1;1;2
"351140 Cerqueira César";4;3;7
"351150 Cerquilho";1;24;25
"351160 Cesário Lange";4;1;5
"351170 Charqueada";1;4;5
"355720 Chavantes";3;-;3
"351190 Clementina";2;-;2
"351200 Colina";4;3;7
"351210 Colômbia";4;-;4
"351220 Conchal";9;1;10
"351230 Conchas";1;1;2
"351240 Cordeirópolis";9;5;14
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";11;7;18
"351290 Cosmorama";1;-;1
"351300 Cotia";23;17;40
"351310 Cravinhos";5;3;8
"351320 Cristais Paulista";3;-;3
"351330 Cruzália";1;-;1
"351340 Cruzeiro";17;38;55
"351350 Cubatão";25;21;46
"351360 Cunha";3;3;6
"351370 Descalvado";10;21;31
"351380 Diadema";53;12;65
"351385 Dirce Reis";1;-;1
"351390 Divinolândia";6;2;8
"351400 Dobrada";1;-;1
"351410 Dois Córregos";3;5;8
"351420 Dolcinópolis";2;-;2
"351430 Dourado";2;1;3
"351440 Dracena";15;42;57
"351450 Duartina";5;1;6
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351480 Eldorado";1;-;1
"351490 Elias Fausto";3;-;3
"351492 Elisiário";1;-;1
"351495 Embaúba";1;-;1
"351500 Embu das Artes";19;17;36
"351510 Embu-Guaçu";5;5;10
"351512 Emilianópolis";2;-;2
"351515 Engenheiro Coelho";5;7;12
"351518 Espírito Santo do Pinhal";11;14;25
"351519 Espírito Santo do Turvo";3;-;3
"355730 Estiva Gerbi";6;1;7
"351520 Estrela d'Oeste";6;1;7
"351530 Estrela do Norte";1;-;1
"351535 Euclides da Cunha Paulista";2;-;2
"351540 Fartura";4;-;4
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";18;65;83
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";24;4;28
"351590 Floreal";2;-;2
"351600 Flórida Paulista";3;1;4
"351610 Florínia";1;-;1
"351620 Franca";61;115;176
"351630 Francisco Morato";13;7;20
"351640 Franco da Rocha";58;8;66
"351650 Gabriel Monteiro";1;-;1
"351660 Gália";4;-;4
"351670 Garça";15;5;20
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";3;-;3
"351690 General Salgado";4;2;6
"351700 Getulina";-;1;1
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";6;3;9
"351750 Guapiaçu";6;-;6
"351760 Guapiara";1;1;2
"351770 Guará";5;7;12
"351780 Guaraçaí";1;-;1
"351790 Guaraci";2;-;2
"351800 Guarani d'Oeste";1;-;1
"351810 Guarantã";2;-;2
"351820 Guararapes";5;8;13
"351830 Guararema";5;1;6
"351840 Guaratinguetá";13;52;65
"351850 Guareí";5;-;5
"351860 Guariba";8;5;13
"351870 Guarujá";42;32;74
"351880 Guarulhos";162;184;346
"351885 Guatapará";1;-;1
"351890 Guzolândia";2;-;2
"351900 Herculândia";3;-;3
"351905 Holambra";1;1;2
"351907 Hortolândia";26;17;43
"351910 Iacanga";3;2;5
"351920 Iacri";2;-;2
"351925 Iaras";18;-;18
"351930 Ibaté";2;3;5
"351940 Ibirá";2;-;2
"351950 Ibirarema";1;1;2
"351960 Ibitinga";6;5;11
"351970 Ibiúna";6;9;15
"351980 Icém";1;1;2
"351990 Iepê";2;-;2
"352000 Igaraçu do Tietê";2;5;7
"352010 Igarapava";8;5;13
"352020 Igaratá";3;-;3
"352030 Iguape";3;1;4
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";13;16;29
"352040 Ilhabela";21;2;23
"352050 Indaiatuba";42;58;100
"352060 Indiana";2;-;2
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;2;5
"352100 Iperó";7;2;9
"352110 Ipeúna";2;-;2
"352115 Ipiguá";2;-;2
"352120 Iporanga";1;-;1
"352130 Ipuã";6;4;10
"352140 Iracemápolis";3;-;3
"352150 Irapuã";1;-;1
"352160 Irapuru";3;3;6
"352170 Itaberá";2;-;2
"352180 Itaí";5;-;5
"352190 Itajobi";3;-;3
"352200 Itaju";1;1;2
"352210 Itanhaém";24;6;30
"352215 Itaóca";1;-;1
"352220 Itapecerica da Serra";14;19;33
"352230 Itapetininga";36;50;86
"352240 Itapeva";14;33;47
"352250 Itapevi";16;5;21
"352260 Itapira";21;24;45
"352265 Itapirapuã Paulista";1;-;1
"352270 Itápolis";14;4;18
"352280 Itaporanga";3;-;3
"352290 Itapuí";2;-;2
"352300 Itapura";2;-;2
"352310 Itaquaquecetuba";16;9;25
"352320 Itararé";4;2;6
"352330 Itariri";1;1;2
"352340 Itatiba";22;21;43
"352350 Itatinga";1;2;3
"352360 Itirapina";8;-;8
"352370 Itirapuã";2;-;2
"352380 Itobi";2;-;2
"352390 Itu";30;48;78
"352400 Itupeva";14;4;18
"352410 Ituverava";16;11;27
"352420 Jaborandi";1;-;1
"352430 Jaboticabal";20;14;34
"352440 Jacareí";51;92;143
"352450 Jaci";10;1;11
"352460 Jacupiranga";1;3;4
"352470 Jaguariúna";13;21;34
"352480 Jales";17;29;46
"352500 Jandira";9;7;16
"352510 Jardinópolis";11;3;14
"352520 Jarinu";4;2;6
"352530 Jaú";33;39;72
"352540 Jeriquara";1;-;1
"352550 Joanópolis";2;1;3
"352560 João Ramalho";1;-;1
"352570 José Bonifácio";7;5;12
"352580 Júlio Mesquita";1;1;2
"352590 Jundiaí";80;224;304
"352600 Junqueirópolis";5;4;9
"352610 Juquiá";2;1;3
"352620 Juquitiba";4;2;6
"352630 Lagoinha";-;1;1
"352640 Laranjal Paulista";5;7;12
"352650 Lavínia";6;-;6
"352660 Lavrinhas";1;-;1
"352670 Leme";23;17;40
"352680 Lençóis Paulista";13;19;32
"352690 Limeira";52;80;132
"352700 Lindóia";2;1;3
"352710 Lins";25;55;80
"352720 Lorena";16;29;45
"352725 Lourdes";2;-;2
"352730 Louveira";13;5;18
"352740 Lucélia";6;5;11
"352760 Luís Antônio";4;-;4
"352770 Luiziânia";2;-;2
"352780 Lupércio";2;-;2
"352790 Lutécia";1;-;1
"352800 Macatuba";5;3;8
