"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350060 Águas de São Pedro";-;-;3;1;4
"350070 Agudos";-;-;8;21;29
"350075 Alambari";-;-;6;1;7
"350080 Alfredo Marcondes";-;-;1;-;1
"350090 Altair";-;-;3;1;4
"350100 Altinópolis";-;-;14;20;34
"350110 Alto Alegre";-;-;5;1;6
"350115 Alumínio";-;-;5;3;8
"350120 Álvares Florence";-;-;4;-;4
"350130 Álvares Machado";-;-;8;8;16
"350140 Álvaro de Carvalho";-;1;2;-;3
"350150 Alvinlândia";-;-;2;-;2
"350160 Americana";-;1;36;477;514
"350170 Américo Brasiliense";-;2;3;16;21
"350180 Américo de Campos";-;-;2;2;4
"350190 Amparo";-;-;25;187;212
"350200 Analândia";-;-;1;2;3
"350210 Andradina";-;1;13;105;119
"350220 Angatuba";-;-;8;11;19
"350230 Anhembi";-;-;3;3;6
"350240 Anhumas";-;-;3;-;3
"350250 Aparecida";-;-;14;12;26
"350260 Aparecida d'Oeste";-;-;2;2;4
"350270 Apiaí";-;-;14;24;38
"350275 Araçariguama";-;-;2;6;8
"350280 Araçatuba";-;11;57;410;478
"350290 Araçoiaba da Serra";-;-;6;2;8
"350300 Aramina";-;-;4;1;5
"350310 Arandu";-;-;3;1;4
"350315 Arapeí";-;-;3;-;3
"350320 Araraquara";-;10;70;454;534
"350330 Araras";-;-;32;261;293
"350335 Arco-Íris";-;-;2;-;2
"350340 Arealva";-;-;5;2;7
"350350 Areias";-;-;2;-;2
"350360 Areiópolis";-;-;5;12;17
"350370 Ariranha";-;-;4;3;7
"350380 Artur Nogueira";-;-;18;30;48
"350390 Arujá";-;-;10;27;37
"350395 Aspásia";-;-;2;-;2
"350400 Assis";-;4;28;189;221
"350410 Atibaia";-;1;22;227;250
"350420 Auriflama";-;-;4;10;14
"350430 Avaí";-;-;2;-;2
"350440 Avanhandava";-;1;8;4;13
"350450 Avaré";-;8;18;141;167
"350460 Bady Bassitt";-;-;3;3;6
"350470 Balbinos";-;2;3;-;5
"350480 Bálsamo";-;-;3;-;3
"350490 Bananal";-;-;5;1;6
"350500 Barão de Antonina";-;-;3;-;3
"350510 Barbosa";-;-;2;-;2
"350520 Bariri";-;-;8;35;43
"350530 Barra Bonita";-;-;7;55;62
"350535 Barra do Chapéu";-;-;2;-;2
"350540 Barra do Turvo";-;-;5;-;5
"350550 Barretos";-;6;26;179;211
"350560 Barrinha";-;-;7;8;15
"350570 Barueri";-;-;28;153;181
"350580 Bastos";-;-;11;11;22
"350590 Batatais";-;1;17;166;184
"350600 Bauru";-;13;66;487;566
"350610 Bebedouro";-;-;27;154;181
"350620 Bento de Abreu";-;-;4;-;4
"350630 Bernardino de Campos";-;-;4;5;9
"350635 Bertioga";-;-;13;17;30
"350640 Bilac";-;-;3;5;8
"350650 Birigui";-;-;24;93;117
"350660 Biritiba-Mirim";-;-;12;9;21
"350670 Boa Esperança do Sul";-;-;7;6;13
"350680 Bocaina";-;-;6;8;14
"350690 Bofete";-;-;2;-;2
"350700 Boituva";-;-;11;54;65
"350710 Bom Jesus dos Perdões";-;-;3;12;15
"350715 Bom Sucesso de Itararé";-;-;2;-;2
"350720 Borá";-;-;2;-;2
"350730 Boracéia";-;-;1;1;2
"350740 Borborema";-;-;8;21;29
"350745 Borebi";-;-;2;1;3
"350750 Botucatu";-;11;20;410;441
"350760 Bragança Paulista";-;2;49;221;272
"350770 Braúna";-;-;3;-;3
"350775 Brejo Alegre";-;-;2;-;2
"350780 Brodowski";-;-;7;13;20
"350790 Brotas";-;-;8;24;32
"350800 Buri";-;-;9;3;12
"350810 Buritama";-;-;7;4;11
"350820 Buritizal";-;-;3;1;4
"350830 Cabrália Paulista";-;-;3;-;3
"350840 Cabreúva";-;-;8;7;15
"350850 Caçapava";-;-;20;195;215
"350860 Cachoeira Paulista";-;-;16;28;44
"350870 Caconde";-;-;6;23;29
"350880 Cafelândia";-;-;5;27;32
"350890 Caiabu";-;-;2;-;2
"350900 Caieiras";-;-;17;24;41
"350910 Caiuá";-;-;4;-;4
"350920 Cajamar";-;-;14;22;36
"350925 Cajati";-;-;10;20;30
"350930 Cajobi";-;-;4;5;9
"350940 Cajuru";-;-;12;27;39
"350945 Campina do Monte Alegre";-;-;3;-;3
"350950 Campinas";-;11;105;1826;1942
"350960 Campo Limpo Paulista";-;-;14;26;40
"350970 Campos do Jordão";-;-;18;31;49
"350980 Campos Novos Paulista";-;-;2;-;2
"350990 Cananéia";-;-;6;-;6
"350995 Canas";-;-;2;-;2
"351000 Cândido Mota";-;-;9;42;51
"351010 Cândido Rodrigues";-;-;2;1;3
"351015 Canitar";-;-;2;-;2
"351020 Capão Bonito";-;-;19;24;43
"351030 Capela do Alto";-;-;5;3;8
"351040 Capivari";-;-;12;126;138
"351050 Caraguatatuba";-;4;29;94;127
"351060 Carapicuíba";-;2;24;50;76
"351070 Cardoso";-;-;7;9;16
"351080 Casa Branca";-;5;11;48;64
"351090 Cássia dos Coqueiros";-;-;4;-;4
"351100 Castilho";-;-;2;10;12
"351110 Catanduva";-;-;34;270;304
"351120 Catiguá";-;-;4;-;4
"351130 Cedral";-;-;4;7;11
"351140 Cerqueira César";-;-;7;10;17
"351150 Cerquilho";-;-;14;116;130
"351160 Cesário Lange";-;-;4;9;13
"351170 Charqueada";-;-;6;14;20
"355720 Chavantes";-;-;4;12;16
"351190 Clementina";-;-;1;3;4
"351200 Colina";-;-;9;34;43
"351210 Colômbia";-;-;6;4;10
"351220 Conchal";-;-;10;33;43
"351230 Conchas";-;-;10;32;42
"351240 Cordeirópolis";-;-;10;12;22
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;2;-;2
"351280 Cosmópolis";-;-;20;51;71
"351290 Cosmorama";-;-;4;1;5
"351300 Cotia";-;1;38;50;89
"351310 Cravinhos";-;-;7;23;30
"351320 Cristais Paulista";-;-;5;5;10
"351330 Cruzália";-;-;4;1;5
"351340 Cruzeiro";-;-;31;210;241
"351350 Cubatão";-;-;28;119;147
"351360 Cunha";-;-;9;4;13
"351370 Descalvado";-;-;14;62;76
"351380 Diadema";-;2;35;101;138
"351385 Dirce Reis";-;-;2;-;2
"351390 Divinolândia";-;-;5;16;21
"351400 Dobrada";-;-;2;2;4
"351410 Dois Córregos";-;-;8;27;35
"351420 Dolcinópolis";-;-;3;1;4
"351430 Dourado";-;-;5;7;12
"351440 Dracena";-;1;13;135;149
"351450 Duartina";-;-;5;20;25
"351460 Dumont";-;-;2;-;2
"351470 Echaporã";-;-;4;-;4
"351480 Eldorado";-;-;6;2;8
"351490 Elias Fausto";-;-;3;3;6
"351492 Elisiário";-;-;2;-;2
"351495 Embaúba";-;-;2;-;2
"351500 Embu das Artes";-;-;23;12;35
"351510 Embu-Guaçu";-;-;10;5;15
"351512 Emilianópolis";-;-;2;-;2
"351515 Engenheiro Coelho";-;-;6;3;9
"351518 Espírito Santo do Pinhal";-;-;10;115;125
"351519 Espírito Santo do Turvo";-;-;4;-;4
"355730 Estiva Gerbi";-;-;5;4;9
"351520 Estrela d'Oeste";-;-;3;15;18
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;4;1;5
"351540 Fartura";-;-;3;24;27
"351560 Fernando Prestes";-;-;3;-;3
"351550 Fernandópolis";-;-;31;221;252
"351565 Fernão";-;-;2;-;2
"351570 Ferraz de Vasconcelos";-;1;24;10;35
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;2;2;4
"351600 Flórida Paulista";-;1;6;4;11
"351610 Florínia";-;-;3;-;3
"351620 Franca";-;8;45;527;580
"351630 Francisco Morato";-;1;23;21;45
"351640 Franco da Rocha";-;14;23;28;65
"351650 Gabriel Monteiro";-;-;2;-;2
"351660 Gália";-;-;3;8;11
"351670 Garça";-;-;16;37;53
"351680 Gastão Vidigal";-;-;2;-;2
"351685 Gavião Peixoto";-;-;5;1;6
"351690 General Salgado";-;-;5;12;17
"351700 Getulina";-;1;3;12;16
"351710 Glicério";-;-;4;-;4
"351720 Guaiçara";-;-;6;6;12
"351730 Guaimbê";-;-;3;1;4
"351740 Guaíra";-;-;16;42;58
"351750 Guapiaçu";-;-;9;8;17
"351760 Guapiara";-;-;9;2;11
"351770 Guará";-;-;13;18;31
"351780 Guaraçaí";-;-;2;11;13
"351790 Guaraci";-;-;5;4;9
"351800 Guarani d'Oeste";-;-;2;-;2
"351810 Guarantã";-;-;2;2;4
"351820 Guararapes";-;-;5;27;32
"351830 Guararema";-;1;5;9;15
"351840 Guaratinguetá";-;1;25;175;201
"351850 Guareí";-;1;4;-;5
"351860 Guariba";-;-;11;19;30
"351870 Guarujá";-;-;43;193;236
"351880 Guarulhos";1;3;105;460;569
"351885 Guatapará";-;-;2;-;2
"351890 Guzolândia";-;-;3;-;3
"351900 Herculândia";-;-;7;2;9
"351905 Holambra";-;-;5;7;12
"351907 Hortolândia";-;4;37;41;82
"351910 Iacanga";-;-;3;7;10
"351920 Iacri";-;-;3;4;7
"351925 Iaras";-;1;4;-;5
"351930 Ibaté";-;-;12;15;27
"351940 Ibirá";-;-;5;7;12
"351950 Ibirarema";-;-;2;1;3
"351960 Ibitinga";-;-;12;93;105
"351970 Ibiúna";-;-;20;17;37
"351980 Icém";-;-;5;5;10
"351990 Iepê";-;-;6;3;9
"352000 Igaraçu do Tietê";-;-;5;2;7
"352010 Igarapava";-;-;8;38;46
"352020 Igaratá";-;-;4;-;4
"352030 Iguape";-;-;8;8;16
"352042 Ilha Comprida";-;-;6;1;7
"352044 Ilha Solteira";-;-;13;60;73
"352040 Ilhabela";-;-;11;5;16
"352050 Indaiatuba";-;1;31;267;299
"352060 Indiana";-;-;4;3;7
"352070 Indiaporã";-;-;2;2;4
"352080 Inúbia Paulista";-;-;2;-;2
"352090 Ipaussu";-;-;4;8;12
"352100 Iperó";-;1;7;9;17
"352110 Ipeúna";-;-;2;1;3
"352115 Ipiguá";-;-;3;-;3
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;8;20;28
"352140 Iracemápolis";-;-;13;6;19
"352150 Irapuã";-;-;2;-;2
"352160 Irapuru";-;-;5;1;6
"352170 Itaberá";-;-;11;3;14
"352180 Itaí";-;1;7;19;27
"352190 Itajobi";-;-;6;7;13
"352200 Itaju";-;-;2;-;2
"352210 Itanhaém";-;-;25;27;52
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;16;26;45
"352230 Itapetininga";-;7;36;212;255
"352240 Itapeva";-;2;31;97;130
"352250 Itapevi";-;2;23;36;61
"352260 Itapira";-;-;20;131;151
"352265 Itapirapuã Paulista";-;-;3;-;3
"352270 Itápolis";-;-;9;65;74
"352280 Itaporanga";-;-;5;4;9
"352290 Itapuí";-;-;5;3;8
"352300 Itapura";-;-;2;1;3
"352310 Itaquaquecetuba";-;1;26;13;40
"352320 Itararé";-;-;17;49;66
"352330 Itariri";-;-;4;2;6
"352340 Itatiba";-;1;24;75;100
"352350 Itatinga";-;-;2;16;18
"352360 Itirapina";-;2;7;18;27
"352370 Itirapuã";-;-;4;-;4
"352380 Itobi";-;-;2;2;4
"352390 Itu";-;3;40;167;210
"352400 Itupeva";-;-;25;30;55
"352410 Ituverava";-;-;15;119;134
"352420 Jaborandi";-;-;2;3;5
"352430 Jaboticabal";-;-;16;91;107
"352440 Jacareí";-;-;27;327;354
"352450 Jaci";-;-;4;6;10
"352460 Jacupiranga";-;-;8;6;14
"352470 Jaguariúna";-;-;14;44;58
"352480 Jales";-;5;12;137;154
"352490 Jambeiro";-;-;2;-;2
"352500 Jandira";-;-;17;15;32
"352510 Jardinópolis";-;-;13;22;35
"352520 Jarinu";-;-;7;7;14
"352530 Jaú";-;3;26;330;359
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;2;4;6
"352560 João Ramalho";-;-;1;-;1
"352570 José Bonifácio";-;-;11;25;36
"352580 Júlio Mesquita";-;-;2;-;2
"352585 Jumirim";-;-;2;2;4
"352590 Jundiaí";-;1;58;1271;1330
"352600 Junqueirópolis";-;-;9;9;18
"352610 Juquiá";-;-;9;3;12
"352620 Juquitiba";-;-;9;3;12
"352630 Lagoinha";-;-;4;-;4
"352640 Laranjal Paulista";-;-;14;49;63
"352650 Lavínia";-;-;5;-;5
"352660 Lavrinhas";-;-;4;-;4
"352670 Leme";-;-;26;122;148
"352680 Lençóis Paulista";-;-;19;110;129
"352690 Limeira";-;3;34;420;457
"352700 Lindóia";-;-;5;6;11
"352710 Lins";-;3;20;270;293
"352720 Lorena";-;-;22;157;179
"352725 Lourdes";-;-;2;-;2
"352730 Louveira";-;-;6;21;27
"352740 Lucélia";-;1;6;18;25
"352750 Lucianópolis";-;-;2;-;2
"352760 Luís Antônio";-;-;6;9;15
"352770 Luiziânia";-;-;2;5;7
"352780 Lupércio";-;-;3;-;3
"352790 Lutécia";-;-;2;-;2
"352800 Macatuba";-;-;9;16;25
"352810 Macaubal";-;-;2;7;9
"352820 Macedônia";-;-;2;2;4
"352830 Magda";-;-;2;-;2
"352840 Mairinque";-;-;23;17;40
"352850 Mairiporã";-;-;20;24;44
"352860 Manduri";-;-;5;7;12
"352870 Marabá Paulista";-;-;4;-;4
"352880 Maracaí";-;-;7;6;13
"352885 Marapoama";-;-;2;-;2
"352890 Mariápolis";-;-;2;-;2
"352900 Marília";-;5;65;504;574
"352910 Marinópolis";-;-;2;-;2
"352920 Martinópolis";-;-;11;18;29
"352930 Matão";-;1;21;118;140
"352940 Mauá";-;1;43;171;215
"352950 Mendonça";-;-;2;-;2
"352960 Meridiano";-;-;4;-;4
"352965 Mesópolis";-;-;2;-;2
"352970 Miguelópolis";-;-;10;19;29
"352980 Mineiros do Tietê";-;-;5;4;9
"353000 Mira Estrela";-;-;2;1;3
"352990 Miracatu";-;-;8;3;11
"353010 Mirandópolis";-;1;18;32;51
"353020 Mirante do Paranapanema";-;-;8;10;18
"353030 Mirassol";-;-;14;66;80
"353040 Mirassolândia";-;-;2;-;2
"353050 Mococa";-;2;22;140;164
"353060 Mogi das Cruzes";-;6;50;274;330
"353070 Mogi Guaçu";-;1;24;247;272
"353080 Mogi Mirim";-;1;23;149;173
"353090 Mombuca";-;-;2;-;2
"353100 Monções";-;-;4;-;4
"353110 Mongaguá";-;1;17;11;29
"353120 Monte Alegre do Sul";-;-;6;3;9
"353130 Monte Alto";-;-;17;151;168
"353140 Monte Aprazível";-;-;8;19;27
"353150 Monte Azul Paulista";-;-;5;19;24
"353160 Monte Castelo";-;-;2;-;2
"353180 Monte Mor";-;-;19;29;48
"353170 Monteiro Lobato";-;-;4;2;6
"353190 Morro Agudo";-;-;12;43;55
"353200 Morungaba";-;-;8;5;13
"353205 Motuca";-;-;4;1;5
"353210 Murutinga do Sul";-;-;2;2;4
"353215 Nantes";-;-;3;-;3
"353220 Narandiba";-;-;2;-;2
"353230 Natividade da Serra";-;-;2;-;2
"353240 Nazaré Paulista";-;-;3;3;6
"353250 Neves Paulista";-;-;5;7;12
"353260 Nhandeara";-;-;5;24;29
"353270 Nipoã";-;-;2;-;2
"353280 Nova Aliança";-;-;3;1;4
"353282 Nova Campina";-;-;4;-;4
"353284 Nova Canaã Paulista";-;-;3;-;3
"353286 Nova Castilho";-;-;1;-;1
"353290 Nova Europa";-;-;4;4;8
"353300 Nova Granada";-;-;6;8;14
"353310 Nova Guataporanga";-;-;2;-;2
"353320 Nova Independência";-;-;2;2;4
"353330 Nova Luzitânia";-;-;2;-;2
"353340 Nova Odessa";-;-;9;41;50
"353325 Novais";-;-;2;-;2
"353350 Novo Horizonte";-;-;10;39;49
"353360 Nuporanga";-;-;6;14;20
"353370 Ocauçu";-;-;3;-;3
"353380 Óleo";-;-;4;-;4
"353390 Olímpia";-;1;13;73;87
"353400 Onda Verde";-;-;4;-;4
"353410 Oriente";-;-;3;6;9
"353420 Orindiúva";-;-;2;4;6
"353430 Orlândia";-;1;15;107;123
"353440 Osasco";-;7;63;563;633
"353450 Oscar Bressane";-;-;2;-;2
"353460 Osvaldo Cruz";-;2;11;42;55
"353470 Ourinhos";-;-;27;261;288
"353480 Ouro Verde";-;-;5;1;6
"353475 Ouroeste";-;-;4;9;13
"353490 Pacaembu";-;2;4;11;17
"353500 Palestina";-;-;4;9;13
"353510 Palmares Paulista";-;-;3;3;6
"353520 Palmeira d'Oeste";-;-;6;6;12
"353530 Palmital";-;-;8;22;30
"353540 Panorama";-;-;5;7;12
"353550 Paraguaçu Paulista";-;1;17;56;74
"353560 Paraibuna";-;-;7;5;12
"353570 Paraíso";-;-;2;2;4
"353580 Paranapanema";-;-;5;6;11
"353590 Paranapuã";-;-;2;-;2
"353600 Parapuã";-;-;5;1;6
"353610 Pardinho";-;-;2;1;3
"353620 Pariquera-Açu";-;-;12;4;16
"353625 Parisi";-;-;2;-;2
"353630 Patrocínio Paulista";-;-;7;3;10
"353640 Paulicéia";-;-;2;1;3
"353650 Paulínia";-;-;22;96;118
"353657 Paulistânia";-;-;2;-;2
"353660 Paulo de Faria";-;-;2;3;5
"353670 Pederneiras";-;-;15;43;58
"353680 Pedra Bela";-;-;2;-;2
"353690 Pedranópolis";-;-;4;-;4
"353700 Pedregulho";-;-;10;9;19
"353710 Pedreira";-;-;11;24;35
"353715 Pedrinhas Paulista";-;-;4;4;8
"353720 Pedro de Toledo";-;-;6;2;8
"353730 Penápolis";-;-;19;105;124
"353740 Pereira Barreto";-;-;11;26;37
"353750 Pereiras";-;-;5;3;8
"353760 Peruíbe";-;-;17;23;40
"353770 Piacatu";-;-;1;-;1
"353780 Piedade";-;-;11;25;36
"353790 Pilar do Sul";-;-;10;7;17
"353800 Pindamonhangaba";-;-;31;199;230
"353810 Pindorama";-;-;8;5;13
"353820 Pinhalzinho";-;-;6;2;8
"353830 Piquerobi";-;-;2;-;2
"353850 Piquete";-;-;6;6;12
"353860 Piracaia";-;-;4;6;10
"353870 Piracicaba";-;7;80;669;756
"353880 Piraju";-;1;11;60;72
"353890 Pirajuí";-;2;9;29;40
"353900 Pirangi";-;-;5;9;14
"353910 Pirapora do Bom Jesus";-;-;6;1;7
"353920 Pirapozinho";-;-;10;15;25
"353930 Pirassununga";1;-;27;149;177
"353940 Piratininga";-;-;4;1;5
"353950 Pitangueiras";-;-;12;48;60
"353960 Planalto";-;-;2;-;2
"353970 Platina";-;-;2;-;2
"353980 Poá";-;-;26;20;46
"353990 Poloni";-;-;3;3;6
"354000 Pompéia";-;-;13;73;86
"354010 Pongaí";-;-;2;1;3
"354020 Pontal";-;-;13;29;42
"354025 Pontalinda";-;-;2;1;3
"354030 Pontes Gestal";-;-;2;-;2
"354040 Populina";-;-;2;1;3
"354050 Porangaba";-;-;4;6;10
"354060 Porto Feliz";-;-;14;49;63
"354070 Porto Ferreira";-;-;15;108;123
"354075 Potim";-;-;4;-;4
"354080 Potirendaba";-;-;7;11;18
"354085 Pracinha";-;1;2;-;3
"354090 Pradópolis";-;-;7;8;15
"354100 Praia Grande";-;1;35;92;128
"354105 Pratânia";-;-;2;2;4
"354110 Presidente Alves";-;-;3;-;3
"354120 Presidente Bernardes";-;2;7;14;23
"354130 Presidente Epitácio";-;-;12;26;38
"354140 Presidente Prudente";-;12;34;561;607
"354150 Presidente Venceslau";-;1;13;41;55
"354160 Promissão";-;1;14;37;52
"354165 Quadra";-;-;2;-;2
"354170 Quatá";-;-;7;12;19
"354180 Queiroz";-;-;2;-;2
"354190 Queluz";-;-;6;1;7
"354200 Quintana";-;-;5;1;6
"354210 Rafard";-;-;3;-;3
"354220 Rancharia";-;-;11;33;44
"354230 Redenção da Serra";-;-;3;1;4
"354240 Regente Feijó";-;-;9;6;15
"354250 Reginópolis";-;2;2;3;7
"354260 Registro";-;2;21;69;92
"354270 Restinga";-;-;4;-;4
"354280 Ribeira";-;-;3;-;3
"354290 Ribeirão Bonito";-;-;7;18;25
"354300 Ribeirão Branco";-;-;8;1;9
"354310 Ribeirão Corrente";-;-;3;-;3
"354320 Ribeirão do Sul";-;-;2;-;2
"354323 Ribeirão dos Índios";-;-;1;-;1
"354325 Ribeirão Grande";-;-;2;2;4
"354330 Ribeirão Pires";-;-;18;78;96
"354340 Ribeirão Preto";-;14;111;1376;1501
"354360 Rifaina";-;-;1;-;1
"354370 Rincão";-;-;5;7;12
"354380 Rinópolis";-;-;5;5;10
"354390 Rio Claro";-;4;34;287;325
"354400 Rio das Pedras";-;-;8;61;69
"354410 Rio Grande da Serra";-;-;10;5;15
"354420 Riolândia";-;1;3;2;6
"354350 Riversul";-;-;2;1;3
"354425 Rosana";-;1;11;24;36
"354430 Roseira";-;-;5;2;7
"354440 Rubiácea";-;-;4;-;4
"354450 Rubinéia";-;-;3;-;3
"354460 Sabino";-;-;2;3;5
"354470 Sagres";-;-;2;-;2
"354480 Sales";-;-;2;-;2
"354490 Sales Oliveira";-;-;6;23;29
"354500 Salesópolis";-;-;7;2;9
"354510 Salmourão";-;-;2;-;2
"354515 Saltinho";-;-;1;2;3
"354520 Salto";-;-;19;95;114
"354530 Salto de Pirapora";-;-;10;36;46
"354540 Salto Grande";-;-;2;2;4
"354550 Sandovalina";-;-;3;-;3
"354560 Santa Adélia";-;-;8;14;22
"354570 Santa Albertina";-;-;3;2;5
"354580 Santa Bárbara d'Oeste";-;2;22;181;205
"354600 Santa Branca";-;-;4;4;8
"354610 Santa Clara d'Oeste";-;-;3;-;3
"354620 Santa Cruz da Conceição";-;-;4;-;4
"354625 Santa Cruz da Esperança";-;-;2;-;2
"354630 Santa Cruz das Palmeiras";-;-;5;54;59
"354640 Santa Cruz do Rio Pardo";-;-;14;111;125
"354650 Santa Ernestina";-;-;1;-;1
"354660 Santa Fé do Sul";-;1;17;62;80
"354670 Santa Gertrudes";-;-;13;33;46
"354680 Santa Isabel";-;-;15;9;24
"354690 Santa Lúcia";-;-;4;2;6
"354700 Santa Maria da Serra";-;-;3;1;4
"354710 Santa Mercedes";-;-;2;-;2
"354740 Santa Rita d'Oeste";-;-;2;-;2
"354750 Santa Rita do Passa Quatro";-;3;9;54;66
"354760 Santa Rosa de Viterbo";-;-;8;45;53
"354765 Santa Salete";-;-;2;-;2
"354720 Santana da Ponte Pensa";-;-;2;-;2
"354730 Santana de Parnaíba";-;-;19;12;31
"354770 Santo Anastácio";-;-;6;27;33
"354780 Santo André";-;6;61;671;738
"354790 Santo Antônio da Alegria";-;-;8;1;9
"354800 Santo Antônio de Posse";-;-;11;10;21
"354805 Santo Antônio do Aracanguá";-;-;4;-;4
"354810 Santo Antônio do Jardim";-;-;3;-;3
"354820 Santo Antônio do Pinhal";-;-;7;1;8
"354830 Santo Expedito";-;-;1;-;1
"354840 Santópolis do Aguapeí";-;-;2;-;2
"354850 Santos";-;7;72;1205;1284
"354860 São Bento do Sapucaí";-;-;4;4;8
"354870 São Bernardo do Campo";-;1;71;647;719
"354880 São Caetano do Sul";-;-;35;507;542
"354890 São Carlos";1;1;38;312;352
"354900 São Francisco";-;-;2;-;2
"354910 São João da Boa Vista";-;4;25;344;373
"354920 São João das Duas Pontes";-;-;3;-;3
"354925 São João de Iracema";-;-;2;-;2
"354930 São João do Pau d'Alho";-;-;2;2;4
"354940 São Joaquim da Barra";-;-;18;121;139
"354950 São José da Bela Vista";-;-;6;4;10
"354960 São José do Barreiro";-;-;4;-;4
"354970 São José do Rio Pardo";-;-;15;107;122
"354980 São José do Rio Preto";-;9;57;638;704
"354990 São José dos Campos";1;6;69;1216;1292
"354995 São Lourenço da Serra";-;-;6;1;7
"355000 São Luís do Paraitinga";-;-;5;3;8
"355010 São Manuel";-;-;9;87;96
"355020 São Miguel Arcanjo";-;-;15;24;39
"355030 São Paulo";2;144;854;12154;13154
"355040 São Pedro";-;-;6;59;65
"355050 São Pedro do Turvo";-;-;4;1;5
"355060 São Roque";-;-;14;186;200
"355070 São Sebastião";-;-;24;112;136
"355080 São Sebastião da Grama";-;-;8;16;24
"355090 São Simão";-;-;8;24;32
"355100 São Vicente";-;-;62;180;242
"355110 Sarapuí";-;-;4;-;4
"355120 Sarutaiá";-;-;2;-;2
"355130 Sebastianópolis do Sul";-;-;2;1;3
"355140 Serra Azul";-;3;4;2;9
"355160 Serra Negra";-;-;12;43;55
"355150 Serrana";-;-;15;13;28
"355170 Sertãozinho";-;-;17;186;203
"355180 Sete Barras";-;-;6;-;6
"355190 Severínia";-;-;5;8;13
"355200 Silveiras";-;-;4;1;5
"355210 Socorro";-;-;16;28;44
"355220 Sorocaba";-;7;55;534;596
"355230 Sud Mennucci";-;-;6;2;8
"355240 Sumaré";-;2;33;120;155
"355255 Suzanápolis";-;-;2;-;2
"355250 Suzano";-;-;31;124;155
"355260 Tabapuã";-;-;5;5;10
"355270 Tabatinga";-;-;6;34;40
"355280 Taboão da Serra";-;1;29;74;104
"355290 Taciba";-;-;4;-;4
"355300 Taguaí";-;-;3;8;11
"355310 Taiaçu";-;-;2;6;8
"355320 Taiúva";-;-;4;7;11
"355330 Tambaú";-;-;9;31;40
"355340 Tanabi";-;-;11;21;32
"355350 Tapiraí";-;-;4;-;4
"355360 Tapiratiba";-;-;5;3;8
"355365 Taquaral";-;-;2;-;2
"355370 Taquaritinga";-;-;18;105;123
"355380 Taquarituba";-;-;5;5;10
"355385 Taquarivaí";-;-;3;-;3
"355390 Tarabai";-;-;3;-;3
"355395 Tarumã";-;-;10;1;11
"355400 Tatuí";-;-;32;280;312
"355410 Taubaté";-;3;70;501;574
"355420 Tejupá";-;-;4;-;4
"355430 Teodoro Sampaio";-;-;12;16;28
"355440 Terra Roxa";-;-;7;7;14
"355450 Tietê";-;-;11;80;91
"355460 Timburi";-;-;2;-;2
"355465 Torre de Pedra";-;-;2;-;2
"355470 Torrinha";-;-;3;2;5
"355475 Trabiju";-;-;3;-;3
"355480 Tremembé";-;-;15;17;32
"355490 Três Fronteiras";-;-;3;-;3
"355495 Tuiuti";-;-;3;1;4
"355500 Tupã";-;2;19;126;147
"355510 Tupi Paulista";-;-;8;21;29
"355520 Turiúba";-;-;2;-;2
"355530 Turmalina";-;-;3;-;3
"355535 Ubarana";-;-;2;-;2
"355540 Ubatuba";-;-;25;36;61
"355550 Ubirajara";-;-;2;1;3
"355560 Uchoa";-;-;4;4;8
"355570 União Paulista";-;-;2;-;2
"355580 Urânia";-;-;4;2;6
"355590 Uru";-;-;2;-;2
"355600 Urupês";-;-;5;4;9
"355610 Valentim Gentil";-;-;3;3;6
"355620 Valinhos";-;-;25;248;273
"355630 Valparaíso";-;1;7;14;22
"355635 Vargem";-;-;2;1;3
"355640 Vargem Grande do Sul";-;-;10;63;73
"355645 Vargem Grande Paulista";-;-;13;8;21
"355650 Várzea Paulista";-;-;19;13;32
"355660 Vera Cruz";-;-;4;9;13
"355670 Vinhedo";-;-;9;227;236
"355680 Viradouro";-;-;10;25;35
"355690 Vista Alegre do Alto";-;-;4;5;9
"355695 Vitória Brasil";-;-;2;-;2
"355700 Votorantim";-;-;26;45;71
"355710 Votuporanga";-;4;21;215;240
"355715 Zacarias";-;-;2;-;2
"Total";6;471;7636;47202;55315
&
"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;1;10;89;100
"350020 Adolfo";-;-;2;2;4
"350030 Aguaí";-;-;12;27;39
"350040 Águas da Prata";-;-;4;3;7
"350050 Águas de Lindóia";-;-;8;21;29
"350055 Águas de Santa Bárbara";-;-;2;4;6
"350060 Águas de São Pedro";-;-;3;1;4
"350070 Agudos";-;-;8;21;29
"350075 Alambari";-;-;6;1;7
"350080 Alfredo Marcondes";-;-;1;-;1
"350090 Altair";-;-;3;1;4
"350100 Altinópolis";-;-;14;20;34
"350110 Alto Alegre";-;-;4;1;5
