"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"354360 Rifaina";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"354370 Rincão";-;-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"354380 Rinópolis";-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;-;1;-;-;3;-;19;1;40;262;1;2;1;3;1;-;1;15;-;3;-;-;1;-;-;-;35;3;-;3;-;-;395
"354400 Rio das Pedras";-;-;-;-;-;1;-;1;-;4;58;-;-;-;1;-;-;-;5;-;-;-;1;1;-;-;-;4;-;-;-;-;-;76
"354410 Rio Grande da Serra";-;-;-;-;-;1;-;8;-;3;6;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;1;-;-;-;-;23
"354420 Riolândia";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"354350 Riversul";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354425 Rosana";-;-;-;-;-;-;-;1;-;-;23;-;-;-;1;-;-;-;1;8;-;-;-;1;-;-;-;5;-;-;-;-;-;40
"354430 Roseira";-;1;-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;9
"354440 Rubiácea";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"354450 Rubinéia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354460 Sabino";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"354470 Sagres";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354480 Sales";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;4
"354490 Sales Oliveira";-;-;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3;1;-;-;-;-;31
"354500 Salesópolis";-;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;3;-;1;-;-;11
"354510 Salmourão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"354520 Salto";-;1;-;-;-;1;-;10;-;15;94;-;1;-;2;-;-;-;3;-;-;-;-;1;-;-;-;4;-;-;-;-;-;132
"354530 Salto de Pirapora";-;1;-;-;-;1;-;7;-;2;36;-;-;3;1;-;-;-;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;56
"354540 Salto Grande";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;1;-;-;-;-;-;4;-;1;21;-;-;-;1;-;-;-;-;4;-;-;-;1;-;-;-;3;-;-;-;-;-;36
"354570 Santa Albertina";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;6
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;1;-;14;-;15;173;-;-;-;1;1;-;-;3;-;1;1;-;1;-;-;-;15;2;-;1;-;-;229
"354600 Santa Branca";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;11
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;-;3;-;2;50;-;-;-;1;1;-;-;4;-;-;-;-;1;-;-;-;7;-;-;2;-;-;71
"354640 Santa Cruz do Rio Pardo";-;1;-;-;-;1;-;6;-;8;105;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;15;-;-;3;-;-;144
"354650 Santa Ernestina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354660 Santa Fé do Sul";-;-;-;-;-;1;-;9;-;21;51;-;-;-;1;-;-;-;6;-;1;-;1;1;-;-;-;8;-;-;-;-;-;100
"354670 Santa Gertrudes";-;-;-;-;-;1;-;6;-;5;28;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;2;1;-;1;-;-;47
"354680 Santa Isabel";-;1;-;-;-;-;-;10;-;4;7;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;1;-;28
"354690 Santa Lúcia";-;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;7
"354700 Santa Maria da Serra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;2;-;5;-;11;51;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;76
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;3;-;5;37;-;-;-;1;-;-;-;-;1;1;-;-;2;-;-;-;3;-;-;1;-;-;54
"354765 Santa Salete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;1;-;-;-;3;-;9;-;5;8;-;-;-;1;-;-;-;3;-;1;-;-;1;-;-;-;4;-;-;1;-;-;37
"354770 Santo Anastácio";-;-;-;-;-;-;-;5;-;1;28;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;37
"354780 Santo André";-;1;1;-;-;5;-;35;-;261;332;1;3;1;10;5;1;-;111;-;5;-;3;1;2;-;-;56;2;-;14;-;-;850
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;-;-;12
"354800 Santo Antônio de Posse";-;-;-;-;-;1;-;4;-;2;10;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;21
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;1;-;-;4;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;10
"354820 Santo Antônio do Pinhal";1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;7;1;-;-;1;-;-;-;-;-;-;-;-;-;14
"354830 Santo Expedito";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354850 Santos";-;3;1;-;-;7;-;34;-;156;1058;3;3;2;12;9;-;1;4;-;-;1;3;2;1;-;-;73;-;-;9;1;-;1383
"354860 São Bento do Sapucaí";-;1;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;8
"354870 São Bernardo do Campo";1;1;1;-;-;8;-;34;-;245;342;-;4;6;12;2;-;-;43;-;9;-;3;-;3;-;-;50;4;-;14;3;1;786
"354880 São Caetano do Sul";-;1;-;-;-;1;-;13;-;179;362;-;-;-;6;2;-;-;-;1;-;-;-;1;-;-;-;34;-;-;3;3;-;606
"354890 São Carlos";-;-;1;1;-;2;-;30;1;40;283;-;-;-;4;-;-;-;56;-;1;-;1;1;-;-;-;39;-;-;5;2;-;467
"354900 São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;1;1;1;-;2;-;12;-;25;374;-;9;-;2;1;-;-;2;-;-;-;1;2;1;-;-;16;1;-;2;2;-;455
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354925 São João de Iracema";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;10;-;8;147;-;-;-;1;-;-;1;4;-;-;-;1;1;-;-;-;12;1;-;-;-;-;186
"354950 São José da Bela Vista";-;-;-;-;-;-;-;4;-;1;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;11
"354960 São José do Barreiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;-;-;1;-;7;-;42;75;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;21;-;-;2;-;-;152
"354980 São José do Rio Preto";-;2;1;1;3;6;-;29;-;151;477;2;3;6;7;6;-;2;68;-;5;-;-;2;2;-;-;91;2;-;11;2;-;879
"354990 São José dos Campos";-;1;-;-;7;4;-;39;-;139;1129;-;1;8;12;4;-;-;12;2;-;2;5;1;-;-;-;59;1;1;-;3;-;1430
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;8
"355000 São Luís do Paraitinga";-;1;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"355010 São Manuel";-;-;-;-;-;-;-;7;-;3;86;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;106
"355020 São Miguel Arcanjo";-;1;-;-;-;1;-;7;-;2;21;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;2;1;-;-;-;-;39
"355030 São Paulo";-;9;1;-;15;83;2;572;4;2191;11698;9;23;52;142;37;1;2;200;15;19;6;21;5;31;2;-;648;28;1;212;18;3;16050
"355040 São Pedro";-;-;-;-;-;-;-;3;-;4;54;-;1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;4;-;-;-;-;-;70
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"355060 São Roque";-;1;-;-;-;1;-;11;-;15;173;-;-;-;2;-;-;-;7;-;-;-;-;1;-;-;-;9;-;-;-;-;-;220
"355070 São Sebastião";-;1;1;-;-;2;-;15;-;7;111;-;2;-;1;-;-;-;-;1;-;-;1;1;-;-;-;7;-;-;6;-;-;156
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;5;-;1;13;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;25
"355090 São Simão";-;-;-;-;-;-;-;4;-;6;19;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;35
"355100 São Vicente";-;1;1;-;-;5;-;29;-;36;146;-;-;-;5;2;-;-;9;3;-;-;3;1;-;-;-;12;1;-;5;1;-;260
"355110 Sarapuí";-;1;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;8
"355120 Sarutaiá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;-;-;7;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;11
"355160 Serra Negra";-;-;-;1;-;1;-;9;-;5;41;-;-;-;1;-;-;-;3;-;1;-;-;1;-;-;-;6;-;-;-;-;-;69
"355150 Serrana";-;-;-;-;-;-;-;8;1;7;7;-;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;1;2;-;1;-;-;32
"355170 Sertãozinho";-;1;-;-;-;-;-;15;-;42;154;-;1;-;2;1;-;-;6;-;-;-;1;1;-;-;-;18;-;-;3;-;-;245
"355180 Sete Barras";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;3;-;-;-;-;-;15
"355200 Silveiras";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;6
"355210 Socorro";-;-;-;-;-;2;-;6;-;2;34;-;-;-;1;-;-;-;2;6;-;-;-;1;-;-;-;5;-;-;1;-;-;60
"355220 Sorocaba";-;2;1;-;1;6;-;35;-;52;444;-;1;7;7;2;-;2;68;-;2;1;1;2;3;-;-;72;-;-;9;13;-;731
"355230 Sud Mennucci";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;-;1;-;25;-;11;80;-;2;-;1;1;-;-;28;-;1;-;2;1;-;-;-;20;1;-;-;-;-;174
"355255 Suzanápolis";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"355250 Suzano";-;-;1;-;-;2;-;23;-;42;72;-;2;-;2;-;-;-;13;-;1;-;1;1;-;-;-;17;-;-;5;1;-;183
"355260 Tabapuã";-;-;-;-;-;-;-;1;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;16
"355270 Tabatinga";-;-;-;-;-;-;-;4;-;1;29;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;5;-;-;-;-;-;43
"355280 Taboão da Serra";-;1;1;-;-;3;-;11;-;23;48;-;1;1;3;-;-;-;11;-;1;1;-;1;-;-;-;7;2;-;3;-;-;118
"355290 Taciba";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;13
"355310 Taiaçu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"355320 Taiúva";-;-;-;-;-;-;-;2;-;-;9;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;1;-;-;-;17
"355330 Tambaú";-;-;-;-;-;-;-;7;-;-;25;-;1;-;1;-;-;-;1;1;-;-;1;1;-;-;-;7;-;-;1;-;-;46
"355340 Tanabi";-;-;-;-;-;-;-;6;-;12;10;-;-;-;1;-;-;-;-;3;-;-;-;1;-;-;-;3;-;-;1;-;-;37
"355350 Tapiraí";-;1;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;9
"355360 Tapiratiba";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"355365 Taquaral";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355370 Taquaritinga";-;-;-;-;-;2;-;9;-;10;92;1;-;-;1;1;-;-;2;-;1;-;-;-;-;-;-;10;-;-;1;1;-;131
"355380 Taquarituba";-;-;-;-;-;-;-;5;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;14
"355385 Taquarivaí";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355390 Tarabai";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;-;1;-;5;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;15
"355400 Tatuí";-;1;-;-;-;-;-;16;-;24;202;-;-;-;2;-;-;-;4;1;-;-;2;1;-;-;-;20;-;-;3;1;-;277
"355410 Taubaté";-;1;-;-;1;3;-;46;-;135;400;-;1;1;4;2;1;-;6;-;-;-;1;2;1;-;-;29;-;-;2;3;-;639
"355420 Tejupá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";1;-;-;-;-;-;-;9;-;3;12;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;-;-;-;-;33
"355440 Terra Roxa";-;-;-;1;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;18
"355450 Tietê";-;1;-;-;-;-;-;1;-;7;72;-;-;-;1;-;-;-;1;7;-;-;-;1;1;-;-;15;-;-;-;-;-;107
"355460 Timburi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3
"355465 Torre de Pedra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355480 Tremembé";-;1;-;-;-;-;-;10;-;8;10;-;-;-;1;-;-;-;-;2;1;-;-;1;-;-;-;3;-;-;-;-;-;37
"355490 Três Fronteiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;-;1;-;-;-;14;-;11;132;-;-;3;2;-;-;-;8;-;1;-;-;2;1;-;-;8;-;-;-;-;-;183
"355510 Tupi Paulista";-;-;-;-;-;-;-;7;-;-;24;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;36
"355520 Turiúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"355535 Ubarana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"355540 Ubatuba";-;1;-;-;-;1;-;19;-;6;27;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;4;-;-;64
"355550 Ubirajara";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"355560 Uchoa";2;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"355570 União Paulista";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;3;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;10
"355590 Uru";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355600 Urupês";-;-;-;-;-;-;-;3;-;2;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"355610 Valentim Gentil";1;-;-;-;-;-;-;5;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"355620 Valinhos";-;-;-;-;-;3;-;14;-;23;253;-;1;-;2;-;-;-;7;-;2;-;-;1;-;-;-;11;-;-;-;-;-;317
"355630 Valparaíso";-;-;-;-;-;-;-;7;-;3;17;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;29
"355635 Vargem";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;3;-;4;64;-;-;-;1;-;-;-;3;4;-;-;1;1;-;-;-;4;-;-;-;-;-;85
"355645 Vargem Grande Paulista";-;-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;-;3;-;1;-;-;2;2;-;-;1;1;-;1;-;-;29
"355650 Várzea Paulista";-;-;-;-;-;2;-;14;-;9;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;37
"355660 Vera Cruz";-;-;-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;-;1;-;8;-;21;174;-;-;-;1;-;-;-;2;-;2;-;-;1;-;-;-;15;1;-;-;-;-;226
"355680 Viradouro";-;-;-;-;-;-;-;3;-;6;15;-;1;-;1;-;-;-;3;-;-;-;1;1;-;-;-;5;-;-;-;-;-;36
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355700 Votorantim";-;1;-;-;-;2;-;15;-;8;49;-;-;-;2;-;-;1;3;-;-;-;-;1;-;-;-;8;-;-;1;1;-;92
"355710 Votuporanga";-;-;1;-;-;2;-;14;-;38;205;-;1;-;2;-;-;-;1;-;2;-;-;1;1;-;-;20;-;-;3;1;-;292
"355715 Zacarias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"Total";69;144;53;21;59;408;2;4550;30;8000;42318;30;193;174;721;155;8;19;1660;338;210;20;144;654;63;2;4;3776;158;23;754;117;6;64883
&
