"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"354625 Santa Cruz da Esperança";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;-;3;-;2;49;-;-;-;1;1;-;4;-;-;-;-;1;-;-;5;-;-;2;-;-;68
"354640 Santa Cruz do Rio Pardo";-;1;-;-;-;1;-;5;-;9;101;-;-;-;2;-;-;1;-;1;-;-;1;-;-;14;-;-;-;-;-;136
"354650 Santa Ernestina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354660 Santa Fé do Sul";-;-;-;-;-;1;-;9;-;18;49;-;-;-;1;-;-;5;-;-;-;1;1;-;-;8;-;-;-;-;-;93
"354670 Santa Gertrudes";-;-;-;-;-;1;-;6;-;4;27;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;1;-;1;-;-;45
"354680 Santa Isabel";-;1;-;-;-;-;-;9;-;4;5;-;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;24
"354690 Santa Lúcia";-;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;7
"354700 Santa Maria da Serra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;2;-;5;-;13;50;-;-;1;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;75
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;3;-;5;40;-;-;-;1;-;-;-;1;1;-;-;2;-;-;3;-;-;1;-;-;57
"354765 Santa Salete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;1;-;-;-;3;-;9;-;4;8;-;-;-;1;-;-;3;-;1;-;-;1;-;-;3;-;-;-;-;-;34
"354770 Santo Anastácio";-;-;-;-;-;-;-;5;-;1;28;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;37
"354780 Santo André";-;-;1;-;-;5;-;38;1;233;324;1;3;1;10;5;1;108;2;5;-;3;1;1;-;51;2;-;14;-;-;810
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;-;-;11
"354800 Santo Antônio de Posse";-;-;-;-;-;1;-;4;-;2;10;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;21
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"354820 Santo Antônio do Pinhal";1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;7;1;-;-;1;-;-;-;-;-;-;-;-;14
"354830 Santo Expedito";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354850 Santos";-;3;1;-;-;7;-;34;-;151;1036;3;3;2;12;9;1;4;-;-;1;3;2;-;-;66;-;-;8;1;-;1347
"354860 São Bento do Sapucaí";-;1;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;8
"354870 São Bernardo do Campo";-;1;1;-;-;6;-;33;-;246;328;-;3;5;12;2;-;45;-;10;-;2;-;3;-;52;4;-;17;3;-;773
"354880 São Caetano do Sul";-;1;-;-;-;1;-;14;-;177;346;-;-;-;6;2;-;-;1;-;-;-;1;-;-;32;-;-;3;3;-;587
"354890 São Carlos";-;-;1;1;-;2;-;30;1;33;256;-;-;-;3;-;-;49;-;-;-;3;1;-;-;38;-;-;6;1;-;425
"354900 São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;1;1;1;-;2;-;12;-;25;358;-;8;-;2;1;-;2;-;-;-;1;2;-;-;14;1;-;2;1;-;434
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"354925 São João de Iracema";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;11;-;9;127;-;-;-;1;-;-;2;-;-;-;1;1;-;-;12;1;-;-;-;-;165
"354950 São José da Bela Vista";-;-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;10
"354960 São José do Barreiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;-;-;1;-;6;-;39;71;1;-;-;1;-;-;3;-;-;-;1;1;-;-;17;-;-;2;-;-;143
"354980 São José do Rio Preto";-;2;1;1;3;5;-;29;-;140;457;2;3;6;7;4;1;67;-;5;-;-;2;1;-;81;2;-;10;2;-;831
"354990 São José dos Campos";-;1;-;-;7;4;-;39;-;144;1085;-;1;8;11;4;-;12;2;-;2;5;1;-;-;63;1;1;-;3;-;1394
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;8
"355000 São Luís do Paraitinga";-;1;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"355010 São Manuel";-;-;-;-;-;-;-;7;-;3;80;-;-;-;1;-;-;-;-;-;-;-;1;-;-;8;-;-;-;-;-;100
"355020 São Miguel Arcanjo";-;1;-;-;-;1;-;7;-;1;21;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;1;-;-;-;-;37
"355030 São Paulo";-;4;1;-;10;81;2;571;8;1962;11078;9;23;50;146;26;1;216;16;18;6;20;4;16;2;614;28;1;129;13;3;15058
"355040 São Pedro";-;-;-;-;-;-;-;5;-;4;54;-;3;-;1;-;-;2;1;-;-;-;1;-;-;3;-;-;-;-;-;74
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"355060 São Roque";-;1;-;-;-;1;-;9;-;14;164;1;-;-;2;-;-;8;-;-;-;-;1;-;-;9;-;-;-;-;-;210
"355070 São Sebastião";-;1;1;-;-;2;-;15;-;6;109;-;2;-;1;-;-;-;-;-;-;1;1;-;-;7;-;-;6;-;-;152
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;5;-;1;13;-;-;-;1;-;-;-;-;-;-;1;1;-;-;3;1;-;-;-;-;26
"355090 São Simão";-;-;-;-;-;-;-;4;-;5;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;1;-;1;-;-;33
"355100 São Vicente";-;1;1;-;-;5;-;29;-;35;146;-;-;1;3;1;-;9;3;-;-;3;1;-;-;11;1;-;5;1;-;256
"355110 Sarapuí";-;1;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;8
"355120 Sarutaiá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;-;-;7;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;11
"355160 Serra Negra";-;-;-;-;-;1;-;8;-;5;41;-;-;-;1;-;-;3;-;-;-;-;1;-;-;6;-;-;-;-;-;66
"355150 Serrana";-;-;-;-;-;-;-;7;1;7;6;-;1;-;1;-;-;2;-;1;-;-;1;-;-;1;2;-;1;-;-;31
"355170 Sertãozinho";-;-;1;-;-;-;-;14;-;41;151;-;1;-;2;1;-;6;-;-;-;1;1;-;-;16;-;-;3;-;-;238
"355180 Sete Barras";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;5
"355210 Socorro";-;-;-;-;-;1;-;5;-;1;34;-;-;-;1;-;-;2;5;-;-;-;1;-;-;5;-;-;-;-;-;55
"355220 Sorocaba";-;2;1;-;1;5;-;35;-;48;413;-;1;6;7;2;1;63;-;2;-;1;2;1;-;70;-;-;9;13;-;683
"355230 Sud Mennucci";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;-;1;-;24;-;7;83;-;1;-;1;1;-;26;-;2;-;1;1;-;-;20;1;-;-;-;-;169
"355255 Suzanápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355250 Suzano";-;-;1;-;-;2;-;21;-;38;68;-;2;-;2;-;-;14;2;1;-;1;1;-;-;17;-;-;5;1;-;176
"355260 Tabapuã";-;-;-;-;-;-;-;1;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;12
"355270 Tabatinga";-;-;-;-;-;-;-;4;-;1;28;-;-;-;1;-;-;1;-;-;-;1;1;-;-;5;-;-;-;-;-;42
"355280 Taboão da Serra";-;1;1;-;-;3;-;11;-;23;44;-;1;1;3;-;-;12;-;-;1;1;1;-;-;7;2;-;3;-;-;115
"355290 Taciba";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;12
"355310 Taiaçu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"355320 Taiúva";-;-;-;-;-;-;-;3;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;13
"355330 Tambaú";-;-;-;-;-;-;-;7;-;-;26;-;1;-;1;-;-;1;1;-;-;1;1;-;-;7;-;-;1;-;-;47
"355340 Tanabi";-;-;-;-;-;-;-;6;-;12;8;-;-;-;1;-;-;-;3;-;-;-;1;-;-;3;-;-;1;-;-;35
"355350 Tapiraí";-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6
"355360 Tapiratiba";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"355365 Taquaral";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355370 Taquaritinga";-;-;-;-;-;2;-;8;-;11;90;1;-;-;1;-;-;2;-;-;-;1;-;-;-;10;-;-;1;1;-;128
"355380 Taquarituba";-;-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;12
"355385 Taquarivaí";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355390 Tarabai";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;13
"355400 Tatuí";-;1;-;-;-;-;-;15;-;22;193;-;-;-;1;-;-;4;1;-;-;2;1;-;-;19;-;-;1;1;-;261
"355410 Taubaté";-;1;-;-;-;3;-;53;-;124;384;-;1;1;4;2;1;6;-;1;-;1;2;1;-;30;-;-;1;3;-;619
"355420 Tejupá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;-;9;-;3;15;-;-;-;1;-;-;-;-;1;-;-;1;-;-;4;-;-;-;-;-;34
"355440 Terra Roxa";-;-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;15
"355450 Tietê";-;1;-;-;-;-;-;2;-;6;73;-;-;-;1;-;-;1;7;-;-;-;1;-;-;11;-;-;-;-;-;103
"355460 Timburi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355480 Tremembé";-;1;-;-;-;-;-;10;-;7;10;-;-;-;1;-;-;-;2;1;-;-;1;-;-;3;-;-;-;-;-;36
"355490 Três Fronteiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;-;1;-;-;-;14;-;10;129;-;-;3;2;-;-;7;-;1;-;-;2;1;-;7;-;-;-;-;-;177
"355510 Tupi Paulista";-;-;-;-;-;-;-;7;-;-;21;-;-;-;1;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;33
"355520 Turiúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"355535 Ubarana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355540 Ubatuba";-;1;-;-;-;1;-;21;-;5;27;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;1;-;4;-;-;66
"355550 Ubirajara";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"355560 Uchoa";1;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;9
"355570 União Paulista";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;8
"355590 Uru";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;-;-;-;3;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;12
"355610 Valentim Gentil";1;-;-;-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;11
"355620 Valinhos";-;-;-;-;-;3;-;13;-;20;245;-;1;-;2;-;-;7;-;1;-;-;1;-;-;11;-;-;-;-;-;304
"355630 Valparaíso";-;-;-;-;-;-;-;7;-;2;15;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;26
"355635 Vargem";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;3;-;4;60;-;-;-;1;-;-;2;4;-;-;1;1;-;-;4;-;-;-;-;-;80
"355645 Vargem Grande Paulista";-;-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;3;-;1;-;-;2;2;-;1;1;-;1;-;-;29
"355650 Várzea Paulista";-;-;-;-;-;2;-;14;-;7;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;35
"355660 Vera Cruz";-;-;-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;-;1;-;6;-;22;169;-;-;-;1;-;-;2;-;1;-;-;1;-;-;14;-;-;-;-;-;217
"355680 Viradouro";-;-;-;-;-;-;-;3;-;5;15;-;1;-;1;-;-;3;-;-;-;1;1;-;-;5;-;-;-;-;-;35
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"355700 Votorantim";-;1;1;-;-;2;-;13;-;9;47;-;-;-;2;-;1;2;1;-;-;-;1;-;-;8;-;-;1;1;-;90
"355710 Votuporanga";-;-;1;-;-;2;-;12;-;35;197;-;1;-;2;-;-;2;-;2;-;-;1;1;-;18;-;-;3;-;-;277
"355715 Zacarias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"Total";30;124;50;13;46;380;2;4474;37;7370;40254;28;180;167;722;127;16;1617;319;173;18;169;645;36;2;3611;153;26;612;105;4;61510
&
