"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"354490 Sales Oliveira";-;-;-;-;-;-;-;3;-;1;21;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3;1;-;-;-;-;31
"354500 Salesópolis";-;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;3;-;1;-;-;11
"354510 Salmourão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354515 Saltinho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"354520 Salto";-;-;-;-;-;1;-;10;-;12;82;-;1;-;2;-;-;3;-;-;-;-;1;-;-;-;4;-;-;-;1;-;117
"354530 Salto de Pirapora";-;-;-;-;-;-;-;7;-;2;35;-;-;2;1;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;51
"354540 Salto Grande";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"354550 Sandovalina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354560 Santa Adélia";-;-;-;-;-;-;-;3;-;1;20;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;31
"354570 Santa Albertina";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;6
"354580 Santa Bárbara d'Oeste";-;-;-;-;-;-;-;14;-;14;164;-;-;-;1;1;-;3;-;1;1;-;1;-;-;-;14;2;-;1;-;-;217
"354600 Santa Branca";-;-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;9
"354610 Santa Clara d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354620 Santa Cruz da Conceição";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354630 Santa Cruz das Palmeiras";-;-;-;-;-;-;-;2;-;1;46;-;-;-;1;1;-;5;-;-;-;-;1;-;-;-;5;-;-;2;-;-;64
"354640 Santa Cruz do Rio Pardo";-;-;-;-;-;1;-;7;1;7;99;-;-;-;2;-;-;1;-;1;-;-;1;-;-;-;13;-;-;-;-;-;133
"354650 Santa Ernestina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;-;-;-;-;1;-;9;-;15;47;-;-;-;1;-;-;5;-;-;-;1;1;-;-;-;7;-;-;-;-;-;87
"354670 Santa Gertrudes";-;-;-;-;-;1;-;6;-;4;29;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;2;1;-;1;-;-;47
"354680 Santa Isabel";-;1;-;-;-;-;-;9;-;3;3;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;21
"354690 Santa Lúcia";-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;6
"354700 Santa Maria da Serra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"354710 Santa Mercedes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354740 Santa Rita d'Oeste";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;2;-;5;-;11;49;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;71
"354760 Santa Rosa de Viterbo";-;-;-;-;-;-;-;3;-;4;40;-;-;-;1;-;-;-;1;1;-;-;2;-;-;-;3;-;-;-;-;-;55
"354765 Santa Salete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354720 Santana da Ponte Pensa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;1;-;-;-;3;-;9;-;4;8;-;-;-;1;-;-;3;-;1;-;-;1;-;-;-;3;-;-;-;-;-;34
"354770 Santo Anastácio";-;-;-;-;-;-;-;5;-;1;27;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;36
"354780 Santo André";-;-;1;-;-;4;-;38;1;223;324;1;3;1;10;5;1;108;2;5;-;3;1;1;-;-;49;2;-;14;-;-;797
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;10
"354800 Santo Antônio de Posse";-;-;-;-;-;1;-;4;-;2;10;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;-;-;-;-;-;22
"354805 Santo Antônio do Aracanguá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"354820 Santo Antônio do Pinhal";1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;6;1;-;-;1;-;-;-;-;-;-;-;-;-;12
"354830 Santo Expedito";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354850 Santos";-;2;1;-;-;7;-;34;-;146;1035;3;3;2;11;10;1;5;-;-;1;3;2;-;-;-;66;-;-;8;1;-;1341
"354860 São Bento do Sapucaí";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;8
"354870 São Bernardo do Campo";-;1;1;-;-;6;-;33;-;242;323;-;3;5;12;2;-;45;-;10;-;2;-;1;-;-;56;4;-;14;2;-;762
"354880 São Caetano do Sul";-;-;-;-;-;1;-;14;-;178;334;-;-;-;6;2;-;-;1;-;-;-;1;-;-;-;32;-;-;-;4;-;573
"354890 São Carlos";-;-;1;1;-;2;-;30;1;32;236;-;-;-;3;-;-;48;-;-;-;3;1;-;-;-;36;-;-;6;1;-;401
"354900 São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354910 São João da Boa Vista";-;-;1;1;-;2;-;12;-;25;347;-;6;-;2;1;-;2;-;-;-;1;2;-;-;-;14;1;-;2;1;-;420
"354920 São João das Duas Pontes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"354925 São João de Iracema";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354940 São Joaquim da Barra";-;-;-;-;-;-;-;11;-;8;118;-;-;-;1;-;-;2;-;-;-;1;1;-;-;-;12;1;-;-;-;-;155
"354950 São José da Bela Vista";-;-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;10
"354960 São José do Barreiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;-;-;-;-;1;-;4;-;38;68;1;-;-;1;-;-;5;-;-;-;1;1;-;-;-;14;-;-;2;-;-;136
"354980 São José do Rio Preto";-;-;1;1;3;5;-;28;1;147;433;2;3;6;7;4;1;66;-;5;-;-;2;1;-;-;77;2;-;9;2;-;806
"354990 São José dos Campos";-;-;-;-;7;4;-;39;-;140;1069;-;1;8;11;4;-;12;2;-;2;5;1;-;-;-;63;1;1;-;3;-;1373
"354995 São Lourenço da Serra";-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;8
"355000 São Luís do Paraitinga";-;-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"355010 São Manuel";-;-;-;-;-;-;-;7;-;3;78;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;8;-;-;-;-;-;98
"355020 São Miguel Arcanjo";-;-;-;-;-;1;-;8;-;1;21;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;2;1;-;-;-;-;37
"355030 São Paulo";-;1;1;-;7;81;2;579;10;1921;10731;9;24;49;151;25;1;212;16;13;6;20;4;8;2;1;614;28;1;119;12;3;14651
"355040 São Pedro";-;-;-;-;-;-;-;5;-;4;52;-;3;-;1;-;-;2;1;-;-;-;1;-;-;-;2;-;-;-;-;-;71
"355050 São Pedro do Turvo";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"355060 São Roque";-;-;-;-;-;1;-;9;-;14;163;1;-;-;2;-;-;8;-;-;-;-;1;-;-;-;10;-;-;-;-;-;209
"355070 São Sebastião";-;1;1;-;-;2;-;15;-;6;111;-;2;-;1;-;-;-;-;-;-;1;1;-;-;-;7;-;-;6;-;-;154
"355080 São Sebastião da Grama";-;-;-;-;-;-;-;5;-;1;13;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;3;1;-;-;-;-;26
"355090 São Simão";-;-;-;-;-;-;-;4;-;5;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;32
"355100 São Vicente";-;1;1;-;-;5;-;29;-;35;144;-;-;1;3;1;-;9;3;-;-;3;1;-;-;-;11;1;-;5;1;-;254
"355110 Sarapuí";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;6
"355120 Sarutaiá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355130 Sebastianópolis do Sul";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355140 Serra Azul";-;-;-;-;-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"355160 Serra Negra";-;-;-;-;-;1;-;9;-;4;38;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;6;-;-;-;-;-;63
"355150 Serrana";-;-;-;-;-;-;-;6;1;7;6;-;1;-;1;-;-;3;-;-;-;-;1;-;-;-;1;2;-;-;-;-;29
"355170 Sertãozinho";-;-;1;-;-;-;-;14;-;39;151;-;1;-;2;1;-;6;-;-;-;1;1;-;-;-;15;-;-;3;-;-;235
"355180 Sete Barras";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;7
"355190 Severínia";-;-;-;-;-;-;-;2;-;1;5;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;13
"355200 Silveiras";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;5
"355210 Socorro";-;-;-;-;-;1;-;5;-;1;33;-;-;-;1;-;-;2;5;-;-;-;1;-;-;-;5;-;-;-;-;-;54
"355220 Sorocaba";-;1;1;-;1;6;-;35;-;61;400;-;1;6;7;2;1;49;-;2;-;1;2;1;-;-;74;-;-;9;13;-;673
"355230 Sud Mennucci";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"355240 Sumaré";-;-;-;-;-;1;-;23;-;5;83;-;1;-;1;1;-;26;2;2;-;1;1;-;-;-;20;1;-;-;-;-;168
"355255 Suzanápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355250 Suzano";-;-;1;-;-;2;-;20;-;37;67;-;2;-;2;-;-;14;-;1;-;1;1;-;-;-;17;-;-;5;-;-;170
"355260 Tabapuã";-;-;-;-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;10
"355270 Tabatinga";-;-;-;-;-;-;-;4;-;-;26;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;5;-;-;-;-;-;39
"355280 Taboão da Serra";-;1;1;-;-;3;-;11;-;23;45;-;1;1;3;-;-;11;-;-;1;1;-;-;-;-;7;2;-;3;-;-;114
"355290 Taciba";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;12
"355310 Taiaçu";-;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;8
"355320 Taiúva";-;-;-;-;-;-;-;3;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;13
"355330 Tambaú";-;-;-;-;-;-;-;7;-;-;26;-;-;-;1;-;-;1;1;-;-;1;1;-;-;-;7;-;-;1;-;-;46
"355340 Tanabi";-;-;-;-;-;-;-;6;-;12;7;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;3;-;-;1;-;-;34
"355350 Tapiraí";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"355360 Tapiratiba";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"355365 Taquaral";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355370 Taquaritinga";-;-;-;-;-;2;-;8;-;10;91;1;-;-;1;-;-;2;-;-;-;1;1;-;-;-;10;-;-;-;1;-;128
"355380 Taquarituba";-;-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;12
"355385 Taquarivaí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355390 Tarabai";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;13
"355400 Tatuí";-;1;-;-;-;-;-;15;-;22;189;-;-;-;1;-;-;4;1;-;-;2;1;-;-;-;19;-;-;1;1;-;257
"355410 Taubaté";-;-;-;-;-;3;-;53;-;123;374;-;1;1;4;2;1;5;-;1;-;1;2;1;-;-;31;-;-;1;3;-;607
"355420 Tejupá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;-;-;9;-;3;13;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;4;-;-;-;-;-;32
"355440 Terra Roxa";-;-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;15
"355450 Tietê";-;-;-;-;-;-;-;2;-;6;70;-;-;-;1;-;-;1;7;-;-;-;1;-;-;-;10;-;-;-;-;-;98
"355460 Timburi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355480 Tremembé";-;-;-;-;-;-;-;4;-;5;10;-;-;-;1;-;-;-;8;1;-;-;1;-;-;-;2;-;-;-;-;-;32
"355490 Três Fronteiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"355500 Tupã";-;-;-;1;-;-;-;14;-;10;124;-;-;3;2;-;-;7;-;1;-;-;2;1;-;-;7;-;-;-;-;-;172
"355510 Tupi Paulista";-;-;-;-;-;-;-;7;-;-;20;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;32
"355520 Turiúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355535 Ubarana";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355540 Ubatuba";-;-;-;-;-;1;-;20;-;5;27;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;4;1;-;-;-;-;63
"355550 Ubirajara";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"355560 Uchoa";1;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"355570 União Paulista";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;7
"355590 Uru";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;-;-;-;3;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;12
"355610 Valentim Gentil";1;-;-;-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;11
"355620 Valinhos";-;-;-;-;-;3;-;13;-;21;241;-;-;-;2;-;-;5;-;1;-;-;1;-;-;-;11;-;-;-;-;-;298
"355630 Valparaíso";-;-;-;-;-;-;-;7;-;2;13;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;24
"355635 Vargem";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"355640 Vargem Grande do Sul";-;-;-;-;-;-;-;2;-;4;59;-;-;-;1;-;-;2;4;-;-;1;1;-;-;-;4;-;-;-;-;-;78
"355645 Vargem Grande Paulista";-;-;-;-;-;1;-;8;-;8;1;-;-;-;-;-;-;3;-;1;-;-;2;1;-;-;1;1;-;1;-;-;28
"355650 Várzea Paulista";-;-;-;-;-;2;-;14;-;6;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;34
"355660 Vera Cruz";-;-;-;-;-;-;-;2;-;1;8;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;-;-;1;-;6;-;20;167;-;-;-;1;-;-;2;-;1;-;-;1;-;-;-;13;-;-;-;-;-;212
"355680 Viradouro";-;-;-;-;-;-;-;3;-;5;15;-;1;-;1;-;-;3;-;-;-;1;1;-;-;-;4;-;-;-;-;-;34
"355690 Vista Alegre do Alto";-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;8
"355695 Vitória Brasil";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"355700 Votorantim";-;1;1;-;-;2;-;13;-;7;44;-;-;-;2;-;1;2;1;-;-;-;1;-;-;-;8;-;-;1;1;-;85
"355710 Votuporanga";-;-;1;-;-;2;-;12;-;30;198;-;1;-;2;-;-;1;-;2;-;-;1;-;-;-;16;-;-;3;-;-;269
"355715 Zacarias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"Total";28;39;50;13;38;375;2;4437;45;7154;39354;28;171;165;730;122;16;1591;327;163;18;166;638;23;2;1;3535;154;24;556;103;3;60071
&
